fips	county	state	medvalue
5019	"Clark County, Arkansas"	ar	86600
5021	"Clay County, Arkansas"	ar	62400
5023	"Cleburne County, Arkansas"	ar	117900
5025	"Cleveland County, Arkansas"	ar	78300
5027	"Columbia County, Arkansas"	ar	78900
5029	"Conway County, Arkansas"	ar	86100
5031	"Craighead County, Arkansas"	ar	120700
5033	"Crawford County, Arkansas"	ar	102800
5035	"Crittenden County, Arkansas"	ar	99500
5037	"Cross County, Arkansas"	ar	78400
5039	"Dallas County, Arkansas"	ar	59200
5041	"Desha County, Arkansas"	ar	55100
5043	"Drew County, Arkansas"	ar	83300
5045	"Faulkner County, Arkansas"	ar	137800
5047	"Franklin County, Arkansas"	ar	93000
5049	"Fulton County, Arkansas"	ar	88200
5051	"Garland County, Arkansas"	ar	130500
5053	"Grant County, Arkansas"	ar	100800
5055	"Greene County, Arkansas"	ar	99100
5057	"Hempstead County, Arkansas"	ar	73100
5059	"Hot Spring County, Arkansas"	ar	81300
5061	"Howard County, Arkansas"	ar	74500
5063	"Independence County, Arkansas"	ar	88900
5065	"Izard County, Arkansas"	ar	73900
5067	"Jackson County, Arkansas"	ar	56500
5069	"Jefferson County, Arkansas"	ar	81100
5071	"Johnson County, Arkansas"	ar	88700
5073	"Lafayette County, Arkansas"	ar	52200
5075	"Lawrence County, Arkansas"	ar	59800
5077	"Lee County, Arkansas"	ar	54700
5079	"Lincoln County, Arkansas"	ar	59300
5081	"Little River County, Arkansas"	ar	80900
5083	"Logan County, Arkansas"	ar	81100
5085	"Lonoke County, Arkansas"	ar	120600
5087	"Madison County, Arkansas"	ar	92800
5089	"Marion County, Arkansas"	ar	92700
5091	"Miller County, Arkansas"	ar	92900
5093	"Mississippi County, Arkansas"	ar	75300
5095	"Monroe County, Arkansas"	ar	52200
5097	"Montgomery County, Arkansas"	ar	76400
5099	"Nevada County, Arkansas"	ar	64600
5101	"Newton County, Arkansas"	ar	74600
5103	"Ouachita County, Arkansas"	ar	70000
5105	"Perry County, Arkansas"	ar	77700
5107	"Phillips County, Arkansas"	ar	59500
5109	"Pike County, Arkansas"	ar	75200
5111	"Poinsett County, Arkansas"	ar	71300
5113	"Polk County, Arkansas"	ar	82700
5115	"Pope County, Arkansas"	ar	110200
5117	"Prairie County, Arkansas"	ar	72400
5119	"Pulaski County, Arkansas"	ar	140500
5121	"Randolph County, Arkansas"	ar	74100
5123	"St. Francis County, Arkansas"	ar	65600
5125	"Saline County, Arkansas"	ar	138600
5127	"Scott County, Arkansas"	ar	82100
5129	"Searcy County, Arkansas"	ar	85100
5131	"Sebastian County, Arkansas"	ar	114500
5133	"Sevier County, Arkansas"	ar	68800
5135	"Sharp County, Arkansas"	ar	73800
5137	"Stone County, Arkansas"	ar	88100
5139	"Union County, Arkansas"	ar	75000
5141	"Van Buren County, Arkansas"	ar	86700
5143	"Washington County, Arkansas"	ar	148800
5145	"White County, Arkansas"	ar	100100
5147	"Woodruff County, Arkansas"	ar	58400
5149	"Yell County, Arkansas"	ar	91200
6001	"Alameda County, California"	ca	493800
6003	"Alpine County, California"	ca	333600
6005	"Amador County, California"	ca	270500
6007	"Butte County, California"	ca	225900
6009	"Calaveras County, California"	ca	254800
6011	"Colusa County, California"	ca	181600
6013	"Contra Costa County, California"	ca	404000
6015	"Del Norte County, California"	ca	198400
6017	"El Dorado County, California"	ca	359500
6019	"Fresno County, California"	ca	195400
6021	"Glenn County, California"	ca	217700
6023	"Humboldt County, California"	ca	288300
6025	"Imperial County, California"	ca	147300
6027	"Inyo County, California"	ca	236100
6029	"Kern County, California"	ca	161700
6031	"Kings County, California"	ca	176900
6033	"Lake County, California"	ca	183600
6035	"Lassen County, California"	ca	185500
6037	"Los Angeles County, California"	ca	420200
6039	"Madera County, California"	ca	182000
6041	"Marin County, California"	ca	781900
6043	"Mariposa County, California"	ca	235000
6045	"Mendocino County, California"	ca	323600
6047	"Merced County, California"	ca	146400
6049	"Modoc County, California"	ca	164100
6051	"Mono County, California"	ca	344500
6053	"Monterey County, California"	ca	362400
6055	"Napa County, California"	ca	428600
6057	"Nevada County, California"	ca	357300
6059	"Orange County, California"	ca	519600
6061	"Placer County, California"	ca	342000
6063	"Plumas County, California"	ca	243700
6065	"Riverside County, California"	ca	231000
6067	"Sacramento County, California"	ca	234200
6069	"San Benito County, California"	ca	343000
6071	"San Bernardino County, California"	ca	222300
6073	"San Diego County, California"	ca	402100
6075	"San Francisco County, California"	ca	744600
6077	"San Joaquin County, California"	ca	208000
6079	"San Luis Obispo County, California"	ca	426600
6081	"San Mateo County, California"	ca	722200
6083	"Santa Barbara County, California"	ca	453000
6085	"Santa Clara County, California"	ca	645600
6087	"Santa Cruz County, California"	ca	557500
6089	"Shasta County, California"	ca	220000
6091	"Sierra County, California"	ca	231400
6093	"Siskiyou County, California"	ca	200800
6095	"Solano County, California"	ca	262400
6097	"Sonoma County, California"	ca	407400
6099	"Stanislaus County, California"	ca	172900
6101	"Sutter County, California"	ca	188500
6103	"Tehama County, California"	ca	177100
6105	"Trinity County, California"	ca	257400
6107	"Tulare County, California"	ca	163100
6109	"Tuolumne County, California"	ca	269400
6111	"Ventura County, California"	ca	442200
6113	"Yolo County, California"	ca	314300
6115	"Yuba County, California"	ca	171000
8001	"Adams County, Colorado"	co	186600
8003	"Alamosa County, Colorado"	co	137300
8005	"Arapahoe County, Colorado"	co	230700
8007	"Archuleta County, Colorado"	co	279700
8009	"Baca County, Colorado"	co	73500
8011	"Bent County, Colorado"	co	75500
8013	"Boulder County, Colorado"	co	350900
8014	"Broomfield County, Colorado"	co	275900
8015	"Chaffee County, Colorado"	co	262300
8017	"Cheyenne County, Colorado"	co	81700
8019	"Clear Creek County, Colorado"	co	268500
8021	"Conejos County, Colorado"	co	109700
8023	"Costilla County, Colorado"	co	93800
8025	"Crowley County, Colorado"	co	78800
8027	"Custer County, Colorado"	co	216200
8029	"Delta County, Colorado"	co	191200
8031	"Denver County, Colorado"	co	249100
8033	"Dolores County, Colorado"	co	121800
8035	"Douglas County, Colorado"	co	335600
8037	"Eagle County, Colorado"	co	453300
8039	"Elbert County, Colorado"	co	333600
8041	"El Paso County, Colorado"	co	213500
8043	"Fremont County, Colorado"	co	159500
8045	"Garfield County, Colorado"	co	302700
8047	"Gilpin County, Colorado"	co	281700
8049	"Grand County, Colorado"	co	282000
8051	"Gunnison County, Colorado"	co	329500
8053	"Hinsdale County, Colorado"	co	261700
8055	"Huerfano County, Colorado"	co	152400
8057	"Jackson County, Colorado"	co	123200
8059	"Jefferson County, Colorado"	co	262400
8061	"Kiowa County, Colorado"	co	79400
8063	"Kit Carson County, Colorado"	co	121600
8065	"Lake County, Colorado"	co	164400
8067	"La Plata County, Colorado"	co	339400
8069	"Larimer County, Colorado"	co	247100
8071	"Las Animas County, Colorado"	co	151500
8073	"Lincoln County, Colorado"	co	115000
8075	"Logan County, Colorado"	co	119800
8077	"Mesa County, Colorado"	co	210100
8079	"Mineral County, Colorado"	co	275000
8081	"Moffat County, Colorado"	co	176500
8083	"Montezuma County, Colorado"	co	189400
8085	"Montrose County, Colorado"	co	193700
8087	"Morgan County, Colorado"	co	137000
8089	"Otero County, Colorado"	co	91800
8091	"Ouray County, Colorado"	co	383900
8093	"Park County, Colorado"	co	247300
8095	"Phillips County, Colorado"	co	132700
8097	"Pitkin County, Colorado"	co	611200
8099	"Prowers County, Colorado"	co	86100
8101	"Pueblo County, Colorado"	co	138700
8103	"Rio Blanco County, Colorado"	co	200400
8105	"Rio Grande County, Colorado"	co	129500
8107	"Routt County, Colorado"	co	390100
8109	"Saguache County, Colorado"	co	135400
8111	"San Juan County, Colorado"	co	242300
8113	"San Miguel County, Colorado"	co	448000
8115	"Sedgwick County, Colorado"	co	81400
8117	"Summit County, Colorado"	co	460000
8119	"Teller County, Colorado"	co	226900
8121	"Washington County, Colorado"	co	110500
8123	"Weld County, Colorado"	co	191500
8125	"Yuma County, Colorado"	co	136600
9001	"Fairfield County, Connecticut"	ct	432100
9003	"Hartford County, Connecticut"	ct	241500
9005	"Litchfield County, Connecticut"	ct	263600
9007	"Middlesex County, Connecticut"	ct	292000
9009	"New Haven County, Connecticut"	ct	256900
9011	"New London County, Connecticut"	ct	252900
9013	"Tolland County, Connecticut"	ct	254800
9015	"Windham County, Connecticut"	ct	211100
10001	"Kent County, Delaware"	de	199500
10003	"New Castle County, Delaware"	de	246300
10005	"Sussex County, Delaware"	de	236600
11001	"District of Columbia, District of Columbia"	dc	445200
12001	"Alachua County, Florida"	fl	167900
12003	"Baker County, Florida"	fl	124300
12005	"Bay County, Florida"	fl	157600
12007	"Bradford County, Florida"	fl	108000
12009	"Brevard County, Florida"	fl	144900
12011	"Broward County, Florida"	fl	181500
12013	"Calhoun County, Florida"	fl	70000
12015	"Charlotte County, Florida"	fl	143700
12017	"Citrus County, Florida"	fl	117400
12019	"Clay County, Florida"	fl	158600
12021	"Collier County, Florida"	fl	261300
12023	"Columbia County, Florida"	fl	108700
12027	"DeSoto County, Florida"	fl	89900
12029	"Dixie County, Florida"	fl	85300
12031	"Duval County, Florida"	fl	151400
12033	"Escambia County, Florida"	fl	130100
12035	"Flagler County, Florida"	fl	169300
12037	"Franklin County, Florida"	fl	143900
12039	"Gadsden County, Florida"	fl	111200
12041	"Gilchrist County, Florida"	fl	102300
12043	"Glades County, Florida"	fl	87700
12045	"Gulf County, Florida"	fl	120200
12047	"Hamilton County, Florida"	fl	73500
12049	"Hardee County, Florida"	fl	85800
12051	"Hendry County, Florida"	fl	81400
12053	"Hernando County, Florida"	fl	117400
12055	"Highlands County, Florida"	fl	93600
12057	"Hillsborough County, Florida"	fl	160000
12059	"Holmes County, Florida"	fl	83400
12061	"Indian River County, Florida"	fl	157400
12063	"Jackson County, Florida"	fl	88100
12065	"Jefferson County, Florida"	fl	121100
12067	"Lafayette County, Florida"	fl	116600
12069	"Lake County, Florida"	fl	142700
12071	"Lee County, Florida"	fl	149400
12073	"Leon County, Florida"	fl	183300
12075	"Levy County, Florida"	fl	92200
12077	"Liberty County, Florida"	fl	78800
12079	"Madison County, Florida"	fl	81000
12081	"Manatee County, Florida"	fl	165400
12083	"Marion County, Florida"	fl	119400
12085	"Martin County, Florida"	fl	197900
12086	"Miami-Dade County, Florida"	fl	201000
12087	"Monroe County, Florida"	fl	381200
12089	"Nassau County, Florida"	fl	181100
12091	"Okaloosa County, Florida"	fl	182100
12093	"Okeechobee County, Florida"	fl	105300
12095	"Orange County, Florida"	fl	167800
12097	"Osceola County, Florida"	fl	129900
12099	"Palm Beach County, Florida"	fl	199700
12101	"Pasco County, Florida"	fl	120000
12103	"Pinellas County, Florida"	fl	151500
12105	"Polk County, Florida"	fl	111400
12107	"Putnam County, Florida"	fl	89600
12109	"St. Johns County, Florida"	fl	242900
12111	"St. Lucie County, Florida"	fl	122900
12113	"Santa Rosa County, Florida"	fl	162300
12115	"Sarasota County, Florida"	fl	175000
12117	"Seminole County, Florida"	fl	184300
12119	"Sumter County, Florida"	fl	194100
12121	"Suwannee County, Florida"	fl	98400
12123	"Taylor County, Florida"	fl	87400
12125	"Union County, Florida"	fl	89200
12127	"Volusia County, Florida"	fl	142800
12129	"Wakulla County, Florida"	fl	138300
12131	"Walton County, Florida"	fl	159500
12133	"Washington County, Florida"	fl	85900
13001	"Appling County, Georgia"	ga	75600
13003	"Atkinson County, Georgia"	ga	75000
13005	"Bacon County, Georgia"	ga	77000
13007	"Baker County, Georgia"	ga	72700
13009	"Baldwin County, Georgia"	ga	103900
13011	"Banks County, Georgia"	ga	140200
13013	"Barrow County, Georgia"	ga	127000
13015	"Bartow County, Georgia"	ga	128500
13017	"Ben Hill County, Georgia"	ga	79700
13019	"Berrien County, Georgia"	ga	80100
13021	"Bibb County, Georgia"	ga	123000
13023	"Bleckley County, Georgia"	ga	79900
13025	"Brantley County, Georgia"	ga	68500
13027	"Brooks County, Georgia"	ga	101400
13029	"Bryan County, Georgia"	ga	182400
13031	"Bulloch County, Georgia"	ga	134900
13033	"Burke County, Georgia"	ga	80000
13035	"Butts County, Georgia"	ga	125400
13037	"Calhoun County, Georgia"	ga	53000
13039	"Camden County, Georgia"	ga	154500
13043	"Candler County, Georgia"	ga	86700
13045	"Carroll County, Georgia"	ga	118500
13047	"Catoosa County, Georgia"	ga	130200
13049	"Charlton County, Georgia"	ga	76100
13051	"Chatham County, Georgia"	ga	174500
13053	"Chattahoochee County, Georgia"	ga	97100
13055	"Chattooga County, Georgia"	ga	72400
13057	"Cherokee County, Georgia"	ga	190400
13059	"Clarke County, Georgia"	ga	156600
13061	"Clay County, Georgia"	ga	72300
13063	"Clayton County, Georgia"	ga	97500
13065	"Clinch County, Georgia"	ga	62900
13067	"Cobb County, Georgia"	ga	196700
13069	"Coffee County, Georgia"	ga	80700
13071	"Colquitt County, Georgia"	ga	83500
13073	"Columbia County, Georgia"	ga	170400
13075	"Cook County, Georgia"	ga	83100
13077	"Coweta County, Georgia"	ga	176400
13079	"Crawford County, Georgia"	ga	90800
13081	"Crisp County, Georgia"	ga	95600
13083	"Dade County, Georgia"	ga	112800
13085	"Dawson County, Georgia"	ga	186000
13087	"Decatur County, Georgia"	ga	102900
13089	"DeKalb County, Georgia"	ga	168900
13091	"Dodge County, Georgia"	ga	70000
13093	"Dooly County, Georgia"	ga	67600
13095	"Dougherty County, Georgia"	ga	101700
13097	"Douglas County, Georgia"	ga	135700
13099	"Early County, Georgia"	ga	82400
13101	"Echols County, Georgia"	ga	71600
13103	"Effingham County, Georgia"	ga	155400
13105	"Elbert County, Georgia"	ga	84500
13107	"Emanuel County, Georgia"	ga	69900
13109	"Evans County, Georgia"	ga	89700
13111	"Fannin County, Georgia"	ga	161300
13113	"Fayette County, Georgia"	ga	231500
13115	"Floyd County, Georgia"	ga	114800
13117	"Forsyth County, Georgia"	ga	258200
13119	"Franklin County, Georgia"	ga	114800
13121	"Fulton County, Georgia"	ga	238200
13123	"Gilmer County, Georgia"	ga	142200
13125	"Glascock County, Georgia"	ga	70000
13127	"Glynn County, Georgia"	ga	162900
13129	"Gordon County, Georgia"	ga	116100
13131	"Grady County, Georgia"	ga	110800
13133	"Greene County, Georgia"	ga	145200
13135	"Gwinnett County, Georgia"	ga	171300
13137	"Habersham County, Georgia"	ga	137900
13139	"Hall County, Georgia"	ga	165300
13141	"Hancock County, Georgia"	ga	67800
13143	"Haralson County, Georgia"	ga	106800
13145	"Harris County, Georgia"	ga	203800
13147	"Hart County, Georgia"	ga	118400
13149	"Heard County, Georgia"	ga	93200
13151	"Henry County, Georgia"	ga	147500
13153	"Houston County, Georgia"	ga	132900
13155	"Irwin County, Georgia"	ga	83400
13157	"Jackson County, Georgia"	ga	161300
13159	"Jasper County, Georgia"	ga	120200
13161	"Jeff Davis County, Georgia"	ga	79900
13163	"Jefferson County, Georgia"	ga	67200
13165	"Jenkins County, Georgia"	ga	63400
13167	"Johnson County, Georgia"	ga	65000
13169	"Jones County, Georgia"	ga	138900
13171	"Lamar County, Georgia"	ga	122600
13173	"Lanier County, Georgia"	ga	111800
13175	"Laurens County, Georgia"	ga	85200
13177	"Lee County, Georgia"	ga	159000
13179	"Liberty County, Georgia"	ga	126900
13181	"Lincoln County, Georgia"	ga	103700
13183	"Long County, Georgia"	ga	111900
13185	"Lowndes County, Georgia"	ga	133700
13187	"Lumpkin County, Georgia"	ga	165900
13189	"McDuffie County, Georgia"	ga	106100
13191	"McIntosh County, Georgia"	ga	103700
13193	"Macon County, Georgia"	ga	65500
13195	"Madison County, Georgia"	ga	127800
13197	"Marion County, Georgia"	ga	87000
13199	"Meriwether County, Georgia"	ga	91200
13201	"Miller County, Georgia"	ga	83200
13205	"Mitchell County, Georgia"	ga	77900
13207	"Monroe County, Georgia"	ga	148300
13209	"Montgomery County, Georgia"	ga	74300
13211	"Morgan County, Georgia"	ga	175700
13213	"Murray County, Georgia"	ga	94100
13215	"Muscogee County, Georgia"	ga	133300
13217	"Newton County, Georgia"	ga	125600
13219	"Oconee County, Georgia"	ga	238200
13221	"Oglethorpe County, Georgia"	ga	120800
13223	"Paulding County, Georgia"	ga	135500
13225	"Peach County, Georgia"	ga	120000
13227	"Pickens County, Georgia"	ga	166300
13229	"Pierce County, Georgia"	ga	79600
13231	"Pike County, Georgia"	ga	152800
13233	"Polk County, Georgia"	ga	107900
13235	"Pulaski County, Georgia"	ga	87300
13237	"Putnam County, Georgia"	ga	140600
13239	"Quitman County, Georgia"	ga	62300
13241	"Rabun County, Georgia"	ga	168300
13243	"Randolph County, Georgia"	ga	70300
13245	"Richmond County, Georgia"	ga	100900
13247	"Rockdale County, Georgia"	ga	149900
13249	"Schley County, Georgia"	ga	93000
13251	"Screven County, Georgia"	ga	77000
13253	"Seminole County, Georgia"	ga	71200
13255	"Spalding County, Georgia"	ga	113900
13257	"Stephens County, Georgia"	ga	106600
13259	"Stewart County, Georgia"	ga	50600
13261	"Sumter County, Georgia"	ga	90300
13263	"Talbot County, Georgia"	ga	76500
13265	"Taliaferro County, Georgia"	ga	68300
13267	"Tattnall County, Georgia"	ga	86100
13269	"Taylor County, Georgia"	ga	60800
13271	"Telfair County, Georgia"	ga	58300
13273	"Terrell County, Georgia"	ga	78800
13275	"Thomas County, Georgia"	ga	127000
13277	"Tift County, Georgia"	ga	117300
13279	"Toombs County, Georgia"	ga	88100
13281	"Towns County, Georgia"	ga	164000
13283	"Treutlen County, Georgia"	ga	64300
13285	"Troup County, Georgia"	ga	121300
13287	"Turner County, Georgia"	ga	83800
13289	"Twiggs County, Georgia"	ga	54700
13291	"Union County, Georgia"	ga	198300
13293	"Upson County, Georgia"	ga	86600
13295	"Walker County, Georgia"	ga	104700
13297	"Walton County, Georgia"	ga	157100
13299	"Ware County, Georgia"	ga	79600
13301	"Warren County, Georgia"	ga	66700
13303	"Washington County, Georgia"	ga	82300
13305	"Wayne County, Georgia"	ga	80400
13307	"Webster County, Georgia"	ga	48800
13309	"Wheeler County, Georgia"	ga	54200
13311	"White County, Georgia"	ga	169600
13313	"Whitfield County, Georgia"	ga	122800
13315	"Wilcox County, Georgia"	ga	71200
13317	"Wilkes County, Georgia"	ga	95200
13319	"Wilkinson County, Georgia"	ga	71600
13321	"Worth County, Georgia"	ga	75400
15001	"Hawaii County, Hawaii"	hi	309800
15003	"Honolulu County, Hawaii"	hi	556300
15005	"Kalawao County, Hawaii"	hi	
15007	"Kauai County, Hawaii"	hi	484500
15009	"Maui County, Hawaii"	hi	523700
16001	"Ada County, Idaho"	id	183600
16003	"Adams County, Idaho"	id	150500
16005	"Bannock County, Idaho"	id	142600
16007	"Bear Lake County, Idaho"	id	129700
16009	"Benewah County, Idaho"	id	136000
16011	"Bingham County, Idaho"	id	135400
16013	"Blaine County, Idaho"	id	375000
16015	"Boise County, Idaho"	id	195600
16017	"Bonner County, Idaho"	id	222200
16019	"Bonneville County, Idaho"	id	154700
16021	"Boundary County, Idaho"	id	174300
16023	"Butte County, Idaho"	id	110300
16025	"Camas County, Idaho"	id	163000
16027	"Canyon County, Idaho"	id	122800
16029	"Caribou County, Idaho"	id	116300
16031	"Cassia County, Idaho"	id	125900
16033	"Clark County, Idaho"	id	111700
16035	"Clearwater County, Idaho"	id	138300
16037	"Custer County, Idaho"	id	150600
16039	"Elmore County, Idaho"	id	136800
16041	"Franklin County, Idaho"	id	156800
16043	"Fremont County, Idaho"	id	147600
16045	"Gem County, Idaho"	id	150400
16047	"Gooding County, Idaho"	id	123800
16049	"Idaho County, Idaho"	id	150900
16051	"Jefferson County, Idaho"	id	157500
16053	"Jerome County, Idaho"	id	135200
16055	"Kootenai County, Idaho"	id	188800
16057	"Latah County, Idaho"	id	189100
16059	"Lemhi County, Idaho"	id	186900
16061	"Lewis County, Idaho"	id	116600
16063	"Lincoln County, Idaho"	id	120300
16065	"Madison County, Idaho"	id	169600
16067	"Minidoka County, Idaho"	id	108500
16069	"Nez Perce County, Idaho"	id	165900
16071	"Oneida County, Idaho"	id	126100
16073	"Owyhee County, Idaho"	id	121200
16075	"Payette County, Idaho"	id	132700
16077	"Power County, Idaho"	id	125600
16079	"Shoshone County, Idaho"	id	123200
16081	"Teton County, Idaho"	id	222700
16083	"Twin Falls County, Idaho"	id	148900
16085	"Valley County, Idaho"	id	221200
16087	"Washington County, Idaho"	id	122700
17001	"Adams County, Illinois"	il	104200
17003	"Alexander County, Illinois"	il	54400
17005	"Bond County, Illinois"	il	103300
17007	"Boone County, Illinois"	il	158800
17009	"Brown County, Illinois"	il	83600
17011	"Bureau County, Illinois"	il	101200
17013	"Calhoun County, Illinois"	il	112300
17015	"Carroll County, Illinois"	il	100100
17017	"Cass County, Illinois"	il	76100
17019	"Champaign County, Illinois"	il	149500
17021	"Christian County, Illinois"	il	82400
17023	"Clark County, Illinois"	il	87800
17025	"Clay County, Illinois"	il	75300
17027	"Clinton County, Illinois"	il	127300
17029	"Coles County, Illinois"	il	90200
17031	"Cook County, Illinois"	il	231200
17033	"Crawford County, Illinois"	il	76600
17035	"Cumberland County, Illinois"	il	83800
17037	"DeKalb County, Illinois"	il	173000
17039	"De Witt County, Illinois"	il	107100
17041	"Douglas County, Illinois"	il	99300
17043	"DuPage County, Illinois"	il	286500
17045	"Edgar County, Illinois"	il	72900
17047	"Edwards County, Illinois"	il	65800
17049	"Effingham County, Illinois"	il	115200
17051	"Fayette County, Illinois"	il	82900
17053	"Ford County, Illinois"	il	89600
17055	"Franklin County, Illinois"	il	64300
17057	"Fulton County, Illinois"	il	80600
17059	"Gallatin County, Illinois"	il	61100
17061	"Greene County, Illinois"	il	75200
17063	"Grundy County, Illinois"	il	182200
17065	"Hamilton County, Illinois"	il	72800
17067	"Hancock County, Illinois"	il	81600
17069	"Hardin County, Illinois"	il	72600
17071	"Henderson County, Illinois"	il	83700
17073	"Henry County, Illinois"	il	109800
17075	"Iroquois County, Illinois"	il	96500
17077	"Jackson County, Illinois"	il	100600
17079	"Jasper County, Illinois"	il	88100
17081	"Jefferson County, Illinois"	il	86300
17083	"Jersey County, Illinois"	il	117900
17085	"Jo Daviess County, Illinois"	il	138000
17087	"Johnson County, Illinois"	il	89800
17089	"Kane County, Illinois"	il	223100
17091	"Kankakee County, Illinois"	il	145900
17093	"Kendall County, Illinois"	il	210800
17095	"Knox County, Illinois"	il	81100
17097	"Lake County, Illinois"	il	254800
17099	"LaSalle County, Illinois"	il	125200
17101	"Lawrence County, Illinois"	il	65900
17103	"Lee County, Illinois"	il	112100
17105	"Livingston County, Illinois"	il	110200
17107	"Logan County, Illinois"	il	97200
17109	"McDonough County, Illinois"	il	86400
